id;data;produto;categoria;quantidade;preco;receita;regiao
1;1/29/2026;Diced Tomatoes (canned);Food - Canned Goods;57;1.49;94;Grodzisk Mazowiecki
2;3/14/2026;LED Christmas Lights;Home;44;29.99;SuÃ§Ã£o
3;10/18/2025;Honey Roasted Peanuts;Food - Snacks;67;3.19;Kandi
4;10/31/2025;Artisan Pickles;Food - Condiments;12;2.49;47;Vnukovo
5;5/13/2025;Vegan Protein Powder;Health;93;34.99;18;Cimara
6;2/10/2026;Digital Kitchen Timer;Kitchen;70;14.99;26;Arrah
7;1/14/2026;Kitchen;32;34.99;74;TÃ¶by
8;12/16/2025;Casual Long Cardigan;Clothing - Outerwear;78;45.99;40;Sandakan
9;6/5/2025;Adjustable Window Blind;Home;56;49.99;92;Narsingdi
10;9/7/2025;Chocolate Fudge Ice Cream;Food - Frozen Desserts;82;5.99;2;Rudnogorsk
11;9/9/2025;Blue Corn Tortilla Chips;Food - Snacks;12;3.49;24;Vasilévskiy Mokh
12;2/5/2026;Quinoa & Black Bean Salad;Food - Salads;4;7.49;62;Dom Pedro
13;4/23/2025;Food - Beverages;53;1.99;92;Álgiy
14;1/28/2026;Compact Digital Camera;Photography;73;249.99;64;Puncakwang
15;5/16/2025;Pepperoni Pizza Rolls;Food - Snacks;23;6.99;Venâncio Aires
16;7/29/2025;Lockable Bicycle Chain;Outdoor;56;19.99;63;Cipeundeuy
17;5/7/2025;Chocolate Chip Cookie Mix;Food - Baking;100;2.49;Betio Village
18;3/27/2026;Trendy Bomber Jacket;Clothing - Outerwear;40;69.99;27;Lekas
19;12/24/2025;Wall-Mounted Bookshelf;Home;44;39.99;5;Jindong
20;1/25/2026;Wireless Smart Plug;Smart Home;48;19.99;18;Målinycke
21;2/2/2026;Pressure Washer Accessories Kit;Home Improvement;26;39.99;55;Luruaco
22;6/17/2025;Two-Tier Fruit Basket;Home;42;29.99;69;Karlovo
23;8/19/2025;Electric Stir Fry Pan;Kitchen;26;49.99;91;Dili
24;9/9/2025;Robot Vacuum Cleaner;Home Appliances;51;299.99;41;Al Khawkhah
25;4/1/2026;Children's Science Experiment Lab Kit;Toys;21;29.99;95;Rão Grande
26;9/4/2025;Silicone Wine Glasses;Outdoor;97;22.99;40;Ustâ€™-Izhora
27;1/9/2026;Apricot Jam;Food - Condiments;28;4.29;12;Pechenizhyn
